Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return %,Daily Return
2023-03-21,0.0170460008084774,0.0173540003597736,0.0157239995896816,0.0159489996731281,10988845,0.0,0.0,-6.435533751727475,-0.0643553375172747
2023-03-22,0.0159499999135732,0.0164630003273487,0.0155300004407763,0.0159520003944635,11239326,0.0,0.0,0.0125422000071575,0.0001254220000715
2023-03-23,0.0159520003944635,0.0169159993529319,0.0158670004457235,0.0169140007346868,13007206,0.0,0.0,6.030593758994529,0.0603059375899452
2023-03-24,0.0169149991124868,0.0173419993370771,0.0166319999843835,0.0167149994522333,6826965,0.0,0.0,-1.1823805542257404,-0.0118238055422574
2023-03-25,0.0167149994522333,0.0170499999076128,0.0163439996540546,0.0167410001158714,5114008,0.0,0.0,0.1555528835786296,0.0015555288357862
2023-03-26,0.0167309995740652,0.0186129994690418,0.0165929999202489,0.0182859990745782,7367542,0.0,0.0,9.294121929949773,0.0929412192994977
2023-03-27,0.0182859990745782,0.0223239995539188,0.0182509999722242,0.0223050005733966,15415577,0.0,0.0,,0.2197857214378704
2023-03-28,0.022342000156641,0.0234529990702867,0.0212399996817111,0.0229570008814334,32359655,0.0,0.0,2.752666370426088,0.0275266637042608
2023-03-29,0.0229550004005432,0.0373149998486042,0.0229380000382661,0.0278970003128051,62001906,0.0,0.0,,0.2152907787422628
2023-03-30,0.0278990007936954,0.0328200012445449,0.0276260003447532,0.0290810000151395,39040892,0.0,0.0,4.236708082072983,0.0423670808207298
2023-03-31,0.0290830004960298,0.0333870016038417,0.028931999579072,0.0326690003275871,30545542,0.0,0.0,12.33022649106249,0.1233022649106249
2023-04-01,0.0326530002057552,0.0401870012283325,0.0321800000965595,0.0398319996893405,33404281,0.0,0.0,,0.2198572700318049
2023-04-02,0.0358299985527992,0.0423850007355213,0.0357909984886646,0.0387700013816356,36624883,0.0,0.0,8.205422683743649,0.0820542268374364
2023-04-03,0.0387669987976551,0.0407099984586238,0.0357239991426467,0.0366300009191036,29150502,0.0,0.0,-5.51241505618113,-0.0551241505618112
2023-04-04,0.036626998335123,0.0375379994511604,0.0320179983973503,0.0347420014441013,35321358,0.0,0.0,-5.146468388631527,-0.0514646838863152
2023-04-05,0.034740000963211,0.0361640006303787,0.0283449999988079,0.0304339993745088,35446540,0.0,0.0,-12.394938023352884,-0.1239493802335288
2023-04-06,0.0304349996149539,0.0324129983782768,0.0296829994767904,0.0315559990704059,20487887,0.0,0.0,3.683257662672044,0.0368325766267204
2023-04-07,0.0315620005130767,0.0315620005130767,0.0288720000535249,0.0301770009100437,17356708,0.0,0.0,-4.388186998663693,-0.0438818699866369
2023-04-08,0.0301830004900693,0.0307270009070634,0.0289430003613233,0.0292440000921487,12744500,0.0,0.0,-3.111024029004488,-0.0311102402900448
2023-04-09,0.029254000633955,0.0360330007970333,0.0290389992296695,0.0339680016040802,34255903,0.0,0.0,,0.1611403865443853
2023-04-10,0.0339910015463829,0.0366629995405674,0.0329630002379417,0.0346940010786056,31084761,0.0,0.0,2.0681930518093687,0.0206819305180936
2023-04-11,0.0346979983150959,0.0363159999251365,0.0325669981539249,0.0331810005009174,17937293,0.0,0.0,-4.372003826856226,-0.0437200382685622
